itemset,length,support_count,support
38 39 41 48,4,1991,0.02657323990657324
32 38 39,3,1840,0.02455789122455789
32 39 41,3,2359,0.031484818151484815
170 38 39,3,2019,0.026946946946946947
36 38 39,3,1945,0.025959292625959293
32 39 48,3,5402,0.07209876543209877
32 41 48,3,2063,0.027534200867534202
39 48 65,3,1797,0.023983983983983985
39 48 89,3,2125,0.028361695028361694
225 39,2,2351,0.03137804471137805
310 39,2,1852,0.02471805138471805
110 38,2,2725,0.0363697030363697
237 39,2,1929,0.025745745745745747
101,1,2237,0.029856523189856522
1327,1,1786,0.02383717050383717
147,1,1779,0.023743743743743745
271,1,2094,0.027947947947947947
413,1,1880,0.02509175842509176
438,1,1863,0.024864864864864864
475,1,2167,0.028922255588922256
